Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
2/7/2023 11:46,General ,TWITTER,Evil Exhibited ,430,4,Video
2/7/2023 11:47,General ,TWITTER,Evil Exhibited ,325,2,Text
2/7/2023 14:00,General ,YOUTUBE,Evergreen ,515,27,Video
2/7/2023 14:00,General ,TIKTOK_BUSINESS,Evergreen ,1126,49,Video
2/7/2023 14:00,General ,INSTAGRAM,Evergreen ,7719,114,Video
2/7/2023 14:08,CSGO,TWITTER,N/A ,0,0,Link
2/7/2023 14:08,CSGO,TWITTER,N/A ,0,0,Link
2/7/2023 14:09,CSGO,TWITTER,N/A ,0,0,Link
2/7/2023 14:09,CSGO,TWITTER,N/A ,0,0,Link
2/7/2023 14:09,CSGO,TWITTER,N/A ,0,0,Link
2/7/2023 14:10,CSGO,TWITTER,N/A ,0,0,Text
2/7/2023 15:25,CSGO,TWITTER,N/A ,0,0,Text
2/7/2023 15:25,CSGO,TWITTER,N/A ,0,0,Text
2/7/2023 15:26,CSGO,TWITTER,N/A ,0,0,Text
2/7/2023 15:59,General ,TWITTER,N/A ,0,0,Video
2/7/2023 16:02,General ,TWITTER,Community Engagement ,5404,256,Video
2/8/2023 6:18,DOTA2,TWITTER,N/A ,984,17,Photo
2/8/2023 8:10,General ,TWITTER,N/A ,0,0,Video
2/8/2023 8:22,General,LINKEDIN_COMPANY,Community Engagement ,2476,17,Text
2/8/2023 8:24,CSGO,TWITTER,N/A ,0,0,Text
2/8/2023 9:00,CSGO,TWITTER,Community Engagement ,236,8,Text
2/8/2023 9:00,CSGO,TWITTER,Community Engagement ,1379,15,Link
2/8/2023 9:45,Content Creators,YOUTUBE,N/A ,226,12,Video
2/8/2023 10:00,General ,YOUTUBE,Community Engagement ,1641,44,Video
2/8/2023 10:00,General ,TIKTOK_BUSINESS,Community Engagement ,3694,173,Video
2/8/2023 10:06,General ,INSTAGRAM,Community Engagement ,16084,336,Video
2/8/2023 11:00,DOTA2,TWITTER,N/A ,2834,126,Photo
2/8/2023 11:00,General ,FBPAGE,N/A ,26973,2306,Photo
2/8/2023 12:03,General ,TWITTER,Community Engagement ,2664,45,Photo
2/8/2023 14:38,General ,TWITTER,Community Engagement ,21914,395,Photo
2/8/2023 15:00,General ,TWITTER,Evil Exhibited ,23671,416,Video
2/8/2023 15:18,General ,TWITTER,Community Engagement ,1564,25,Text
2/8/2023 19:44,General ,TWITTER,N/A ,0,0,Photo
2/9/2023 7:42,General ,TWITTER,Evil Exhibited ,3714,51,Text
2/9/2023 10:00,General ,YOUTUBE,Evergreen ,486,22,Video
2/9/2023 10:00,General ,TIKTOK_BUSINESS,Evergreen ,1415,77,Video
2/9/2023 10:00,General ,INSTAGRAM,Evergreen ,8733,151,Video
2/9/2023 11:00,DOTA2,TWITTER,Evil Exhibited ,1947,118,Photo
2/9/2023 11:00,General ,TWITTER,Evil Exhibited ,66746,5546,Photo
2/9/2023 11:00,General ,INSTAGRAM,Evil Exhibited ,11868,311,Photo
2/9/2023 11:00,General ,INSTAGRAM,N/A ,0,0,Text
2/9/2023 11:00,General ,INSTAGRAM,N/A ,0,0,Text
2/9/2023 11:00,General ,INSTAGRAM,N/A ,0,0,Text
2/9/2023 11:00,General ,INSTAGRAM,N/A ,0,0,Text
2/9/2023 11:00,General ,INSTAGRAM,N/A ,0,0,Text
2/9/2023 11:00,General ,INSTAGRAM,N/A ,0,0,Text
2/9/2023 11:00,General ,FBPAGE,Evil Exhibited ,24794,913,Photo
2/9/2023 11:00,General ,FBPAGE,Evil Exhibited ,32321,1862,Photo
2/9/2023 12:00,DOTA2,TWITTER,N/A ,1460,66,Photo
2/9/2023 12:00,General ,TWITTER,Community Engagement ,3375,57,Text
2/9/2023 12:00,General ,TWITTER,Community Engagement ,12647,115,Photo
2/9/2023 12:00,General ,FBPAGE,N/A ,44147,5428,Photo
2/9/2023 13:00,General ,YOUTUBE,Evergreen ,422,11,Video
2/9/2023 13:00,General ,TIKTOK_BUSINESS,Evergreen ,1683,40,Video
2/9/2023 13:00,General ,INSTAGRAM,Evergreen ,14608,267,Video
2/9/2023 13:56,DOTA2,TWITTER,N/A ,517,9,Photo
2/9/2023 14:05,General ,TWITTER,Community Engagement ,16210,331,Video
2/9/2023 14:49,General ,TWITTER,Community Engagement ,19134,1366,Video
2/9/2023 14:51,General ,TWITTER,Community Engagement ,479,12,Video
2/9/2023 14:59,General ,TWITTER,Community Engagement ,11952,643,Video
2/9/2023 15:00,General ,TWITTER,N/A ,55,33,Link
2/9/2023 15:01,General ,INSTAGRAM,Community Engagement ,3750,0,Video
2/9/2023 15:01,General ,INSTAGRAM,N/A ,0,0,Photo
2/9/2023 15:05,DOTA2,TWITTER,N/A ,538,9,Photo
2/9/2023 15:05,General ,FBPAGE,N/A ,12331,524,Photo
2/9/2023 15:06,General ,TWITTER,Community Engagement ,28873,271,Photo
2/9/2023 15:08,DOTA2,TWITTER,N/A ,502,7,Video
2/9/2023 15:12,DOTA2,TWITTER,N/A ,631,36,Photo
2/9/2023 15:16,DOTA2,TWITTER,N/A ,520,5,Video
2/9/2023 15:20,DOTA2,TWITTER,N/A ,627,27,Video
2/9/2023 15:20,General ,TWITTER,Community Engagement ,11205,252,Video
2/9/2023 15:21,General ,FBPAGE,N/A ,6796,459,Video
2/9/2023 15:43,DOTA2,TWITTER,N/A ,524,9,Photo
2/9/2023 15:43,General ,TWITTER,Community Engagement ,12003,196,Photo
2/9/2023 15:44,DOTA2,TWITTER,N/A ,896,29,Photo
2/9/2023 15:45,DOTA2,TWITTER,N/A ,855,16,Photo
2/9/2023 15:45,General ,TWITTER,Community Engagement ,30114,483,Photo
2/9/2023 15:46,General ,FBPAGE,N/A ,30475,4606,Photo
2/9/2023 15:47,General ,TWITTER,Community Engagement ,16153,351,Photo
2/9/2023 15:49,General ,TWITTER,Community Engagement ,1244,65,Video
2/9/2023 15:51,General ,TWITTER,N/A ,0,0,Link
2/9/2023 16:12,General ,TWITTER,Community Engagement ,383,8,Video
2/9/2023 16:20,General ,TWITTER,N/A ,0,0,Text
2/9/2023 16:21,General ,TWITTER,Evil Exhibited ,450,4,Text
2/9/2023 16:22,General ,TWITTER,Community Engagement ,1999,32,Photo
2/9/2023 16:27,General ,TWITTER,Evil Exhibited ,522,9,Video
2/9/2023 16:37,General ,INSTAGRAM,Community Engagement ,3120,0,Video
2/9/2023 16:37,General ,INSTAGRAM,N/A ,0,0,Photo
2/9/2023 16:43,General ,TWITTER,N/A ,0,0,Photo
2/9/2023 16:53,General ,TWITTER,Evil Exhibited ,388,9,Text
2/9/2023 16:54,General ,TWITTER,Evil Exhibited ,492,5,Video
2/9/2023 17:10,General ,TWITTER,Evil Exhibited ,27220,4352,Photo
2/9/2023 17:18,General ,TWITTER,Community Engagement ,1868,77,Photo
2/9/2023 18:36,CSGO,TWITTER,N/A ,0,0,Text
2/9/2023 18:37,General ,TWITTER,N/A ,0,0,Text
2/9/2023 18:38,General ,TWITTER,Evil Exhibited ,967,16,Text
2/10/2023 5:15,DOTA2,TWITTER,N/A ,6359,150,Photo
2/10/2023 9:00,CSGO,TWITTER,Community Engagement ,986,20,Video
2/10/2023 10:00,General ,TWITTER,Community Engagement ,24413,556,Video
2/10/2023 10:04,General ,INSTAGRAM,Community Engagement ,2926,0,Video
2/10/2023 10:04,General ,INSTAGRAM,N/A ,0,0,Photo
2/10/2023 10:04,General ,INSTAGRAM,N/A ,0,0,Photo
2/10/2023 10:13,Content Creators,YOUTUBE,N/A ,1372,34,Video
2/10/2023 10:30,General ,YOUTUBE,Evergreen ,524,9,Video
2/10/2023 10:30,General ,TIKTOK_BUSINESS,Evergreen ,506,18,Video
2/10/2023 10:30,General ,INSTAGRAM,Evergreen ,43440,1075,Video
